Device;Bouwdeel;Verdieping;Geslacht;Datum;Tijd;
Lift TBP 00;BP;BP02;V;3/24/14;8:09:36;
Lift TBP 00;BP;BP02;V;3/24/14;7:20:46 ;
Lift TBP 00;BP;BP02;V;3/24/14;8:49:14 ;
Lift TBP 00;BP;BP02;V;3/24/14;9:00:22 ;
Lift TBP 00;BP;BP03;V;3/24/14;7:36:21 ;
Lift TBP 00;BP;BP04;V;3/24/14;9:08:53 ;
Lift TBP 00;BP;BP04;V;3/24/14;8:20:53 ;
Lift TBP 00;BP;BP04;V;3/24/14;7:02:17 ;
Lift TBP 00;BP;BP05;V;3/24/14;8:19:02 ;
Lift TBP 00;BP;BP05;V;3/24/14;8:50:06 ;
Lift TBP 00;BP;BP05;V;3/24/14;7:25:26 ;
Lift TBP 00;BP;BP05;V;3/24/14;7:06:33 ;
Lift TBP 00;BP;BP05;V;3/24/14;7:18:13 ;
Lift TBP 00;BP;BP05;V;3/24/14;7:39:01 ;
Lift TBP 00;BS;BS02;V;3/24/14;7:34:36 ;
Lift TBP 00;BS;BS02;V;3/24/14;9:06:20 ;
Lift TBP 00;BS;BS03;V;3/24/14;9:01:26 ;
Lift TBP 00;BS;BS03;V;3/24/14;9:01:28 ;
Lift TBP 00;BS;BS03;V;3/24/14;7:42:11 ;
Lift TBP 00;BS;BS03;V;3/24/14;7:42:13 ;
Lift TBP 00;BS;BS05;V;3/24/14;6:38:00 ;
Lift TBP 00;BS;BS06;V;3/24/14;9:57:24 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:07:43 ;
Lift TBP 00;BP;BP02;V;3/24/14;8:02:33 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:52:18 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:52:20 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:52:23 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:44:21 ;
Lift TBP 00;BP;BP02;V;3/24/14;9:13:52 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:49:43 ;
Lift TBP 00;BP;BP02;V;3/24/14;8:03:21 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:55:15 ;
Lift TBP 00;BP;BP02;V;3/24/14;7:03:34 ;
Lift TBP 00;BP;BP02;V;3/24/14;8:17:27 ;
Lift TBP 00;BP;BP04;V;3/24/14;7:22:10 ;
Lift TBP 00;BP;BP04;V;3/24/14;9:42:15 ;
Lift TBP 00;BP;BP04;V;3/24/14;8:51:18 ;
Lift TBP 00;BP;BP06;V;3/24/14;9:28:00 ;
Lift TBP 00;BP;BP06;V;3/24/14;8:46:22 ;
Lift TBP 00;BP;BP06;V;3/24/14;8:46:23 ;
Lift TBP 00;BS;BS02;V;3/24/14;7:55:52 ;
Lift TBP 00;BS;BS02;V;3/24/14;8:43:56 ;
Lift TBP 00;BS;BS02;V;3/24/14;6:46:39 ;
Lift TBP 00;BS;BS03;V;3/24/14;9:35:49 ;
Lift TBP 00;BS;BS03;V;3/24/14;9:35:51 ;
Lift TBP 00;BS;BS03;V;3/24/14;7:33:06 ;
Lift TBP 00;BS;BS03;V;3/24/14;7:28:41 ;
Lift TBP 00;BS;BS03;V;3/24/14;7:58:34 ;
Lift TBP 00;BS;BS04;V;3/24/14;8:31:44 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:40:04 ;
Lift TBP 00;BS;BS04;V;3/24/14;6:59:24 ;
Lift TBP 00;BS;BS04;V;3/24/14;8:19:54 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:28:10 ;
Lift TBP 00;BS;BS04;V;3/24/14;9:36:40 ;
Lift TBP 00;BS;BS04;V;3/24/14;6:53:58 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:56:41 ;
Lift TBP 00;BS;BS04;V;3/24/14;9:37:17 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:29:19 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:29:21 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:29:30 ;
Lift TBP 00;BS;BS04;V;3/24/14;7:37:28 ;
Lift TBP 00;BS;BS05;V;3/24/14;8:53:01 ;
Lift TBP 00;BS;BS05;V;3/24/14;8:53:02 ;
Lift TBP 00;BS;BS06;V;3/24/14;7:38:18 ;
Lift TBP 00;BS;BS06;V;3/24/14;9:07:02 ;
Lift TBP 00;BS;BS06;V;3/24/14;7:50:36 ;
Lift TBP 00;BS;BS06;V;3/24/14;6:52:46 ;
Lift TBP 00;CP;CP06;V;3/24/14;7:16:16 ;
Lift TBP 00;CP;CP06;V;3/24/14;8:33:38 ;
Lift TBP 00;CP;CP06;V;3/24/14;7:31:08 ;
Lift TBP 00;CS;CS01;V;3/24/14;6:59:56 ;
Lift TBP 00;CS;CS03;V;3/24/14;7:13:05 ;
Lift TBP 00;CS;CS03;V;3/24/14;7:13:07 ;
Lift TBP 00;CS;CS03;V;3/24/14;8:38:10 ;
Lift TBP 00;CS;CS03;V;3/24/14;8:05:53 ;
Lift TBP 00;CS;CS03;V;3/24/14;8:05:54 ;
Lift TBP 00;CS;CS03;V;3/24/14;9:31:44 ;
Lift TBP 00;CS;CS03;V;3/24/14;8:40:36 ;
Lift TBP 00;CS;CS03;V;3/24/14;8:14:24 ;
Lift TBP 00;BP;BP03;V;3/24/14;8:21:30 ;
Lift TBP 00;BS;BS02;V;3/24/14;6:54:47 ;
Lift TBP 00;BP;BP04;M;3/24/14;8:30:26 ;
Lift TBP 00;BP;BP04;M;3/24/14;8:10:40 ;
Lift TBP 00;BP;BP04;M;3/24/14;8:10:41 ;
Lift TBP 00;BP;BP05;M;3/24/14;7:18:49 ;
Lift TBP 00;BP;BP05;M;3/24/14;6:40:45 ;
Lift TBP 00;BP;BP05;M;3/24/14;8:17:04 ;
Lift TBP 00;BP;BP05;M;3/24/14;8:29:46 ;
Lift TBP 00;BP;BP05;M;3/24/14;9:44:35 ;
